dataset,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id,source,pipeline,signal
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,941.633607,False,7352502d-5,untuned,dense_autoencoder,art_daily_jumpsdown
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1315.6414619999996,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_24ae8d
realTraffic,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1522.696362,False,7352502d-5,untuned,dense_autoencoder,occupancy_t4013
artificialWithAnomaly,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,560.487938,False,7352502d-5,untuned,dense_autoencoder,art_load_balancer_spikes
realTraffic,0,,0.0,0.0,,1,1,0,OK,1281.561459,False,7352502d-5,untuned,dense_autoencoder,speed_6005
realAWSCloudwatch,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,1033.349566,False,7352502d-5,untuned,dense_autoencoder,ec2_disk_write_bytes_c0d644
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,2133.364789,False,8d982e49-2,tuned,dense_autoencoder,rds_cpu_utilization_cc0c53
realAdExchange,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1052.190792,False,7352502d-5,untuned,dense_autoencoder,exchange-3_cpc_results
realAWSCloudwatch,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,1266.709082,False,8d982e49-2,tuned,dense_autoencoder,grok_asg_anomaly
realTraffic,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,1673.941319,False,7352502d-5,untuned,dense_autoencoder,speed_t4013
realAWSCloudwatch,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1555.985967,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_fe7f93
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,1160.651692,False,7352502d-5,untuned,dense_autoencoder,ec2_disk_write_bytes_1ef3de
realTraffic,0,0.8571428571428571,0.75,1.0,,0,1,3,OK,893.327034,False,7352502d-5,untuned,dense_autoencoder,speed_7578
realTweets,0,0.3333333333333333,0.25,0.5,,1,3,1,OK,3703.0567189999997,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_PFE
realAdExchange,0,,0.0,0.0,,1,1,0,OK,2117.134707,False,7352502d-5,untuned,dense_autoencoder,exchange-2_cpc_results
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,1064.247928,False,7352502d-5,untuned,dense_autoencoder,ec2_network_in_257a54
realTweets,0,0.6666666666666666,0.5,1.0,,0,2,2,OK,1576.005096,False,8d982e49-2,tuned,dense_autoencoder,Twitter_volume_AMZN
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,1042.652036,False,7352502d-5,untuned,dense_autoencoder,art_daily_flatmiddle
realTweets,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,2987.4916949999997,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_CRM
realTweets,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,2766.985632,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_GOOG
realTraffic,0,,0.0,0.0,,1,1,0,OK,2690.414875,False,934e090f-3,untuned,dense_autoencoder,occupancy_6005
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,845.932676,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_5f5533
realTweets,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,1671.4565380000001,False,8d982e49-2,tuned,dense_autoencoder,Twitter_volume_CVS
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,1020.9775460000001,False,7352502d-5,untuned,dense_autoencoder,art_daily_jumpsup
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,1192.602635,False,7352502d-5,untuned,dense_autoencoder,elb_request_count_8c0756
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,2202.349742000001,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_53ea38
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,1097.023815,False,7352502d-5,untuned,dense_autoencoder,art_increase_spike_density
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,352.711281,False,8d982e49-2,tuned,dense_autoencoder,ec2_cpu_utilization_825cc2
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,955.541289,False,934e090f-3,untuned,dense_autoencoder,ec2_cpu_utilization_ac20cd
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,1223.963006,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_77c1ca
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1103.86287,False,7352502d-5,untuned,dense_autoencoder,ec2_network_in_5abac7
realAdExchange,0,0.5714285714285715,0.5,0.6666666666666666,,1,2,2,OK,1085.896958,False,7352502d-5,untuned,dense_autoencoder,exchange-4_cpm_results
realTraffic,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,3065.5776739999997,False,7352502d-5,untuned,dense_autoencoder,TravelTime_387
realTweets,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1213.6953800000001,False,8d982e49-2,tuned,dense_autoencoder,Twitter_volume_KO
realTraffic,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,2232.948078,False,7352502d-5,untuned,dense_autoencoder,TravelTime_451
realTweets,0,0.75,0.75,0.75,,1,1,3,OK,4069.945762,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_AAPL
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,642.2243490000002,False,7352502d-5,untuned,dense_autoencoder,rds_cpu_utilization_e47b3b
realTweets,0,,0.0,0.0,,1,5,0,OK,6879.716840000001,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_UPS
realTweets,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,6628.587576,False,7352502d-5,untuned,dense_autoencoder,Twitter_volume_IBM
realAdExchange,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1281.2970269999996,False,7352502d-5,untuned,dense_autoencoder,exchange-2_cpm_results
realAdExchange,0,1.0,1.0,1.0,,0,0,1,OK,902.6414980000001,False,934e090f-3,untuned,dense_autoencoder,exchange-3_cpm_results
realAWSCloudwatch,0,,,,,0,0,0,OK,1056.264821,False,7352502d-5,untuned,dense_autoencoder,ec2_cpu_utilization_c6585a
realTweets,0,0.5714285714285715,1.0,0.4,,3,0,2,OK,684.0268980000001,False,8d982e49-2,tuned,dense_autoencoder,Twitter_volume_FB
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,1467.866826,False,7352502d-5,untuned,dense_autoencoder,art_daily_nojump
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,676.304303,False,7352502d-5,untuned,dense_autoencoder,iio_us-east-1_i-a2eb1cd9_NetworkIn
artificialWithAnomaly,0,,0.0,0.0,,1,1,0,OK,821.118545,False,7352502d-5,untuned,lstm_dynamic_threshold,art_daily_jumpsdown
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,47131.653538,False,a0518e8f-6,tuned,lstm_dynamic_threshold,ec2_cpu_utilization_24ae8d
realTraffic,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,894.460017,False,7352502d-5,untuned,lstm_dynamic_threshold,occupancy_t4013
artificialWithAnomaly,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,300.710017,False,7352502d-5,untuned,lstm_dynamic_threshold,art_load_balancer_spikes
realTraffic,0,1.0,1.0,1.0,,0,0,1,OK,1014.167077,False,7352502d-5,untuned,lstm_dynamic_threshold,speed_6005
realAWSCloudwatch,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,447.28221500000006,False,7352502d-5,untuned,lstm_dynamic_threshold,ec2_disk_write_bytes_c0d644
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,470.665627,False,7352502d-5,untuned,lstm_dynamic_threshold,rds_cpu_utilization_cc0c53
realAdExchange,0,0.7499999999999999,1.0,0.6,,2,0,3,OK,870.616003,False,7352502d-5,untuned,lstm_dynamic_threshold,exchange-3_cpc_results
realAWSCloudwatch,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,422.39658499999996,False,7352502d-5,untuned,lstm_dynamic_threshold,grok_asg_anomaly
realTraffic,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,1040.548893,False,7352502d-5,untuned,lstm_dynamic_threshold,speed_t4013
realAWSCloudwatch,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,54461.0635,False,a0518e8f-6,tuned,lstm_dynamic_threshold,ec2_cpu_utilization_fe7f93
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,636.0747309999998,False,7352502d-5,untuned,lstm_dynamic_threshold,ec2_disk_write_bytes_1ef3de
realTraffic,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,620.308215,False,7352502d-5,untuned,lstm_dynamic_threshold,speed_7578
realTweets,0,0.6666666666666666,0.5,1.0,,0,2,2,OK,691.325908,False,934e090f-3,untuned,lstm_dynamic_threshold,Twitter_volume_PFE
realAdExchange,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,746.381539,False,7352502d-5,untuned,lstm_dynamic_threshold,exchange-2_cpc_results
realAWSCloudwatch,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,17292.933,False,a0518e8f-6,tuned,lstm_dynamic_threshold,ec2_network_in_257a54
realTweets,0,0.75,0.75,0.75,,1,1,3,OK,657.296145,False,934e090f-3,untuned,lstm_dynamic_threshold,Twitter_volume_AMZN
artificialWithAnomaly,0,,0.0,0.0,,1,1,0,OK,761.000284,False,7352502d-5,untuned,lstm_dynamic_threshold,art_daily_flatmiddle
realTweets,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,880.327633,False,7352502d-5,untuned,lstm_dynamic_threshold,Twitter_volume_CRM
realTweets,0,0.5,0.6666666666666666,0.4,,3,1,2,OK,725.0089,False,7352502d-5,untuned,lstm_dynamic_threshold,Twitter_volume_GOOG
realTraffic,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,913.1280810000001,False,7352502d-5,untuned,lstm_dynamic_threshold,occupancy_6005
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,405.19782599999996,False,7352502d-5,untuned,lstm_dynamic_threshold,ec2_cpu_utilization_5f5533
realTweets,0,0.6666666666666666,1.0,0.5,,3,0,3,OK,692.394963,False,7352502d-5,untuned,lstm_dynamic_threshold,Twitter_volume_CVS
artificialWithAnomaly,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,881.6137630000003,False,7352502d-5,untuned,lstm_dynamic_threshold,art_daily_jumpsup
realAWSCloudwatch,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,868.431859,False,7352502d-5,untuned,lstm_dynamic_threshold,elb_request_count_8c0756
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,486.320006,False,7352502d-5,untuned,lstm_dynamic_threshold,ec2_cpu_utilization_53ea38
artificialWithAnomaly,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,750.765123,False,934e090f-3,untuned,lstm_dynamic_threshold,art_increase_spike_density
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,15740.078978,False,a0518e8f-6,tuned,lstm_dynamic_threshold,ec2_cpu_utilization_825cc2
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,27780.866911,False,a0518e8f-6,tuned,lstm_dynamic_threshold,ec2_cpu_utilization_ac20cd
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,733.088916,False,7352502d-5,untuned,lstm_dynamic_threshold,ec2_cpu_utilization_77c1ca
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,455.47528,False,7352502d-5,untuned,lstm_dynamic_threshold,ec2_network_in_5abac7
realAdExchange,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,535.0222349999998,False,7352502d-5,untuned,lstm_dynamic_threshold,exchange-4_cpm_results
realTraffic,0,0.5,1.0,0.3333333333333333,,6,0,3,OK,2160.229104,False,7352502d-5,untuned,lstm_dynamic_threshold,TravelTime_387
realTweets,0,0.5714285714285715,0.6666666666666666,0.5,,2,1,2,OK,52048.756989,False,a0518e8f-6,tuned,lstm_dynamic_threshold,Twitter_volume_KO
realTraffic,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,24434.932963,False,a0518e8f-6,tuned,lstm_dynamic_threshold,TravelTime_451
realTweets,0,0.5714285714285715,0.5,0.6666666666666666,,1,2,2,OK,1174.195948,False,7352502d-5,untuned,lstm_dynamic_threshold,Twitter_volume_AAPL
realAWSCloudwatch,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,394.753064,False,7352502d-5,untuned,lstm_dynamic_threshold,rds_cpu_utilization_e47b3b
realTweets,0,,0.0,0.0,,3,5,0,OK,1762.345385,False,7352502d-5,untuned,lstm_dynamic_threshold,Twitter_volume_UPS
realTweets,0,0.5714285714285715,1.0,0.4,,3,0,2,OK,78452.463082,False,a0518e8f-6,tuned,lstm_dynamic_threshold,Twitter_volume_IBM
realAdExchange,0,1.0,1.0,1.0,,0,0,2,OK,573.115333,False,7352502d-5,untuned,lstm_dynamic_threshold,exchange-2_cpm_results
realAdExchange,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,13753.692876,False,a0518e8f-6,tuned,lstm_dynamic_threshold,exchange-3_cpm_results
realAWSCloudwatch,0,,,0.0,,12,0,0,OK,545.042552,False,7352502d-5,untuned,lstm_dynamic_threshold,ec2_cpu_utilization_c6585a
