dataset,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id,source,pipeline,signal
realTweets,0,0.6666666666666666,1.0,0.5,,2,0,2,OK,848.353233,False,7352502d-5,untuned,lstm_dynamic_threshold,Twitter_volume_FB
artificialWithAnomaly,0,,0.0,0.0,,1,1,0,OK,759.723637,False,7352502d-5,untuned,lstm_dynamic_threshold,art_daily_nojump
realAWSCloudwatch,0,,0.0,,,0,2,0,OK,360.82782599999996,False,7352502d-5,untuned,lstm_dynamic_threshold,iio_us-east-1_i-a2eb1cd9_NetworkIn
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,1342.263842,False,7352502d-5,untuned,lstm_autoencoder,art_daily_jumpsdown
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1294.4115689999999,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_24ae8d
realTraffic,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1613.029966,False,7352502d-5,untuned,lstm_autoencoder,occupancy_t4013
artificialWithAnomaly,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,2255.566189,False,7352502d-5,untuned,lstm_autoencoder,art_load_balancer_spikes
realTraffic,0,,0.0,0.0,,1,1,0,OK,1038.930437,False,7352502d-5,untuned,lstm_autoencoder,speed_6005
realAWSCloudwatch,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,1350.362089,False,7352502d-5,untuned,lstm_autoencoder,ec2_disk_write_bytes_c0d644
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1200.41867,False,7352502d-5,untuned,lstm_autoencoder,rds_cpu_utilization_cc0c53
realAdExchange,0,1.0,1.0,1.0,,0,0,3,OK,1981.12408,False,7352502d-5,untuned,lstm_autoencoder,exchange-3_cpc_results
realAWSCloudwatch,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,827.2209429999999,False,ad0e09b8-e,tuned,lstm_autoencoder,grok_asg_anomaly
realTraffic,0,0.5,0.5,0.5,,1,1,1,OK,1766.961155,False,7352502d-5,untuned,lstm_autoencoder,speed_t4013
realAWSCloudwatch,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1807.7565969999998,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_fe7f93
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,2904.580099,False,7352502d-5,untuned,lstm_autoencoder,ec2_disk_write_bytes_1ef3de
realTraffic,0,0.8571428571428571,0.75,1.0,,0,1,3,OK,852.503139,False,7352502d-5,untuned,lstm_autoencoder,speed_7578
realTweets,0,,0.0,0.0,,1,4,0,OK,4059.3682259999996,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_PFE
realAdExchange,0,,0.0,0.0,,1,1,0,OK,1150.080365,False,934e090f-3,untuned,lstm_autoencoder,exchange-2_cpc_results
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,680.3600690000001,False,ad0e09b8-e,tuned,lstm_autoencoder,ec2_network_in_257a54
realTweets,0,0.75,0.75,0.75,,1,1,3,OK,6479.365287,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_AMZN
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,1684.013989,False,7352502d-5,untuned,lstm_autoencoder,art_daily_flatmiddle
realTweets,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,3913.4956450000004,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_CRM
realTweets,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,4656.59912,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_GOOG
realTraffic,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,2004.10575,False,7352502d-5,untuned,lstm_autoencoder,occupancy_6005
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,1962.9448739999998,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_5f5533
realTweets,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,1036.638062,False,ad0e09b8-e,tuned,lstm_autoencoder,Twitter_volume_CVS
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,3452.719886,False,7352502d-5,untuned,lstm_autoencoder,art_daily_jumpsup
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,973.323916,False,7352502d-5,untuned,lstm_autoencoder,elb_request_count_8c0756
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,1565.5150039999999,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_53ea38
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,925.748006,False,7352502d-5,untuned,lstm_autoencoder,art_increase_spike_density
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,969.2075710000001,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_825cc2
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,1138.0453730000004,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_ac20cd
realAWSCloudwatch,0,,0.0,,,0,1,0,OK,1450.8315,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_77c1ca
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1347.081609,False,7352502d-5,untuned,lstm_autoencoder,ec2_network_in_5abac7
realAdExchange,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,1121.5750480000004,False,934e090f-3,untuned,lstm_autoencoder,exchange-4_cpm_results
realTraffic,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,5095.694675,False,7352502d-5,untuned,lstm_autoencoder,TravelTime_387
realTweets,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,3373.2225700000013,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_KO
realTraffic,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,3158.335951,False,7352502d-5,untuned,lstm_autoencoder,TravelTime_451
realTweets,0,0.75,0.75,0.75,,1,1,3,OK,1106.741363,False,ad0e09b8-e,tuned,lstm_autoencoder,Twitter_volume_AAPL
realAWSCloudwatch,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,1210.9393400000001,False,7352502d-5,untuned,lstm_autoencoder,rds_cpu_utilization_e47b3b
realTweets,0,,0.0,0.0,,1,5,0,OK,3922.2835549999995,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_UPS
realTweets,0,0.3333333333333333,0.5,0.25,,3,1,1,OK,2995.102993,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_IBM
realAdExchange,0,0.5,0.5,0.5,,1,1,1,OK,1486.10709,False,7352502d-5,untuned,lstm_autoencoder,exchange-2_cpm_results
realAdExchange,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,1413.56047,False,7352502d-5,untuned,lstm_autoencoder,exchange-3_cpm_results
realAWSCloudwatch,0,,,,,0,0,0,OK,815.460008,False,7352502d-5,untuned,lstm_autoencoder,ec2_cpu_utilization_c6585a
realTweets,0,0.5714285714285715,1.0,0.4,,3,0,2,OK,3237.220715,False,7352502d-5,untuned,lstm_autoencoder,Twitter_volume_FB
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,2208.530955,False,7352502d-5,untuned,lstm_autoencoder,art_daily_nojump
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,840.6196789999997,False,7352502d-5,untuned,lstm_autoencoder,iio_us-east-1_i-a2eb1cd9_NetworkIn
artificialWithAnomaly,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,13238.498795,False,7352502d-5,untuned,tadgan,art_daily_jumpsdown
realAWSCloudwatch,0,0.5,0.5,0.5,,1,1,1,OK,12728.02344,False,7352502d-5,untuned,tadgan,ec2_cpu_utilization_24ae8d
realTraffic,0,0.3333333333333333,0.5,0.25,,3,1,1,OK,7298.299854999999,False,d05c3a20-0,tuned,tadgan,occupancy_t4013
artificialWithAnomaly,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,8055.178315000001,False,934e090f-3,untuned,tadgan,art_load_balancer_spikes
realTraffic,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,14111.896926,False,7352502d-5,untuned,tadgan,speed_6005
realAWSCloudwatch,0,0.5,0.6666666666666666,0.4,,3,1,2,OK,2900.3076260000003,False,d05c3a20-0,tuned,tadgan,ec2_disk_write_bytes_c0d644
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,7918.8714,False,d05c3a20-0,tuned,tadgan,rds_cpu_utilization_cc0c53
realAdExchange,0,1.0,1.0,1.0,,0,0,3,OK,9724.892614,False,7352502d-5,untuned,tadgan,exchange-3_cpc_results
realAWSCloudwatch,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,3635.2795100000003,False,d05c3a20-0,tuned,tadgan,grok_asg_anomaly
realTraffic,0,0.2857142857142857,0.5,0.2,,4,1,1,OK,14539.670085,False,7352502d-5,untuned,tadgan,speed_t4013
realAWSCloudwatch,0,0.5714285714285715,0.6666666666666666,0.5,,2,1,2,OK,4279.348269,False,d05c3a20-0,tuned,tadgan,ec2_cpu_utilization_fe7f93
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,14370.202372999998,False,7352502d-5,untuned,tadgan,ec2_disk_write_bytes_1ef3de
realTraffic,0,0.8,1.0,0.6666666666666666,,2,0,4,OK,8393.930402,False,7352502d-5,untuned,tadgan,speed_7578
realTweets,0,0.3333333333333333,0.25,0.5,,1,3,1,OK,13022.046542,False,934e090f-3,untuned,tadgan,Twitter_volume_PFE
realAdExchange,0,,0.0,0.0,,3,1,0,OK,8506.331449,False,7352502d-5,untuned,tadgan,exchange-2_cpc_results
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,1,OK,8799.867561,False,7352502d-5,untuned,tadgan,ec2_network_in_257a54
realTweets,0,0.8571428571428571,0.75,1.0,,0,1,3,OK,32291.161345,False,7352502d-5,untuned,tadgan,Twitter_volume_AMZN
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,10060.679316,False,7352502d-5,untuned,tadgan,art_daily_flatmiddle
realTweets,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,13000.157654,False,934e090f-3,untuned,tadgan,Twitter_volume_CRM
realTweets,0,0.5714285714285715,0.6666666666666666,0.5,,2,1,2,OK,32936.785595999994,False,7352502d-5,untuned,tadgan,Twitter_volume_GOOG
realTraffic,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,12625.989065,False,7352502d-5,untuned,tadgan,occupancy_6005
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,8666.352136,False,7352502d-5,untuned,tadgan,ec2_cpu_utilization_5f5533
realTweets,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,35447.421047,False,7352502d-5,untuned,tadgan,Twitter_volume_CVS
artificialWithAnomaly,0,1.0,1.0,1.0,,0,0,1,OK,8410.368364,False,7352502d-5,untuned,tadgan,art_daily_jumpsup
realAWSCloudwatch,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,9969.149551,False,7352502d-5,untuned,tadgan,elb_request_count_8c0756
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,2,0,2,OK,11405.188456999998,False,7352502d-5,untuned,tadgan,ec2_cpu_utilization_53ea38
artificialWithAnomaly,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,11126.897953,False,7352502d-5,untuned,tadgan,art_increase_spike_density
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,3913.7631460000002,False,934e090f-3,untuned,tadgan,ec2_cpu_utilization_825cc2
realAWSCloudwatch,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,9387.282859,False,7352502d-5,untuned,tadgan,ec2_cpu_utilization_ac20cd
realAWSCloudwatch,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,9095.737547,False,7352502d-5,untuned,tadgan,ec2_cpu_utilization_77c1ca
realAWSCloudwatch,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,11567.079503,False,7352502d-5,untuned,tadgan,ec2_network_in_5abac7
realAdExchange,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,7410.8609,False,934e090f-3,untuned,tadgan,exchange-4_cpm_results
realTraffic,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,9829.454851999999,False,934e090f-3,untuned,tadgan,TravelTime_387
realTweets,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,1249.996179,False,59d5cf23-1,untuned,tadgan,Twitter_volume_KO
realTraffic,0,0.4,1.0,0.25,,3,0,1,OK,12937.346206,False,934e090f-3,untuned,tadgan,TravelTime_451
realTweets,0,0.5714285714285715,0.5,0.6666666666666666,,1,2,2,OK,9765.6375,False,d05c3a20-0,tuned,tadgan,Twitter_volume_AAPL
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,5272.668445,False,d05c3a20-0,tuned,tadgan,rds_cpu_utilization_e47b3b
realTweets,0,0.20000000000000004,0.2,0.2,,4,4,1,OK,35884.440669,False,7352502d-5,untuned,tadgan,Twitter_volume_UPS
realTweets,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,13013.353813,False,934e090f-3,untuned,tadgan,Twitter_volume_IBM
realAdExchange,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,11551.462809999999,False,7352502d-5,untuned,tadgan,exchange-2_cpm_results
realAdExchange,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,7565.624237999998,False,7352502d-5,untuned,tadgan,exchange-3_cpm_results
realAWSCloudwatch,0,,,,,0,0,0,OK,9001.817461,False,7352502d-5,untuned,tadgan,ec2_cpu_utilization_c6585a
realTweets,0,0.5,1.0,0.3333333333333333,,4,0,2,OK,33038.032295,False,7352502d-5,untuned,tadgan,Twitter_volume_FB
artificialWithAnomaly,0,,0.0,,,0,1,0,OK,581.07399,False,59d5cf23-1,untuned,tadgan,art_daily_nojump
realAWSCloudwatch,0,1.0,1.0,1.0,,0,0,2,OK,5537.979026,False,7352502d-5,untuned,tadgan,iio_us-east-1_i-a2eb1cd9_NetworkIn
